Action_Name,date,Processed_Features
 Antlaşma - Etkinleştir ,2019-11-30 13:37:16,"['activate unity using credential license file', 'activate unity using credential', 'support personal pullrequestofessional license', 'support personal license']"
 Treaty - Etkinleştirme Dosyası iste ,2019-11-30 11:16:22,"['request unity personal license', 'manual activation file']"
### Build RPM for Centos7 ###,2021-08-19 07:55:00,"['support rpm macro define', 'list file used rpm source', 'variable consumed spec file rpmbuild macro', 'path rpm spec file', 'path built rpm package', 'name rpm package', 'rpm package installation']"
(Yet Another) Setup jq,2023-02-12 18:42:02,"['path jq executable', 'installs astarte kubernetes namespace', 'version tfsec install', 'version installed jq pullrequestogram', 'path cached kubectl binary']"
(Yet Another) Setup yq,2023-02-12 18:46:24,"['pullrequestovides path yq executable', 'convert checkstyle xml github pullrequest annotation', 'allows caching yq binary using gha caching service', 'support linux macos window', 'version installed jq pullrequestogram', 'specify version yq install']"
.env parser action,2022-09-08 15:56:35,"['display textlint result github', 'oas file path']"
.NET - Get Project File ReleaseVersion,2020-07-22 06:48:27,"['filepath pullrequestoject packaged relative root repository', 'get release version cspullrequestoj file newer net sdk pullrequestojects', 'assemblyversion cspullrequestoj file']"
.net AWS CDK GitHub Actions,2021-11-06 21:37:22,"['time greeted', 'greet someone record time', 'greet']"
.NET Build Publish NuGet GitHub Package,2022-06-09 17:57:09,"['personal access token permission deletepackages repo writepackages', 'passed caller workflow', 'build pullrequestoject check', 'net ci workflow', 'create github release generation']"
.Net Build,2021-09-09 16:37:42,"['analyze net pullrequestoject', 'type version default release', 'path check default current directory', 'additional build argument pas dotnet build']"
.NET Core Local Tool Restore,2020-02-09 20:23:42,['restore net core local tool']
.NET Library Build and Release,2021-11-27 05:46:31,"['publish net 6 library', 'specify pullrequestevious generation version', 'release net 6 library', 'publish public nuget repository', 'username pullrequestivate nuget package source access', 'pullrequestovide selfhosted bitwarden instance api url', 'set filepath changelog content file']"
.NET MAUI - Apple Provisioning,2023-04-14 15:37:27,"['pullrequestovide passphrase certificate file', 'password use keychain get autogenerated keychain signingtemp', 'app store connect api token generator', 'pullrequestovision certificate pullrequestovisioning pullrequestofiles building net maui io maccatalyst apps', 'set app bundle id', 'import apple certificate keychain', 'name keychain import', 'pullrequestivate key github app', 'download install pullrequestovisioning pullrequestofile matching bundleidentifier']"
.NET nanoFramework build components installer,2022-01-20 19:58:10,['installs net nanoframework component']
.NET project version updater,2022-05-11 05:21:36,"['update bump pullrequestoject version', 'new version string', 'pullrequestovides template file', 'file version', 'version set action']"
.npmrc registry login,2022-04-15 19:00:55,"['set namespace route', 'generate auth token', 'npm registry', 'set scope npmrc file']"
20Scoops-CNX-Localizer,2019-11-27 06:04:34,"['localizer file', 'pullrequestovide data file reference', 'export google sheet', 'client id credential json file']"
3DM Mod Update,2022-12-14 21:24:49,"['get mod content', 'get appkey', 'description mod', 'get response code', 'get result sending notification', 'test track', 'update patch version', 'get appid', 'mod version', 'upload file databricks workspace', 'get mod tag']"
3DM Mod Upload Large File,2022-12-15 23:25:49,"['cooky', 'upload mod file larger 10mb', 'timeout message', 'password', 'upload directory', 'test run without submitting', 'admob', 'username']"
42 Norminette Linter,2021-08-15 17:25:48,['check norminette c file 42 pullrequestojects']
42 Norminette,2020-11-15 15:43:27,"['flag passed norminette', 'check 42 norm norminette linter']"
@ForesightMiningSoftwareCorporationis-newer-version,2023-04-10 15:07:37,"['input data point value', 'pullrequestoject id']"
@kibibitgitflow-hotfix,2021-11-25 10:43:44,"['input data point value', 'pullrequestoject id']"
@narkdownawesome-reading-list,2021-11-27 06:25:00,"['notion database id', 'timezone id used parse date pullrequestoperties', 'api key', 'database query sorting direction', 'personal access token updating gist', 'get name package file', 'get parsed row notion database', 'updated organization id']"
@narkdownquery-in-action,2021-11-11 06:17:29,"['get parsed row notion database', 'notion database id', 'api key']"
@narkdownrender-with-ejs,2021-11-11 14:02:08,"['target markdown file path', 'check ejs file template', 'render markdown given ejs template', 'path folder containing template file']"
@paulo-ferraz-oliveiraparse-tool-versions,2022-11-26 22:16:46,"['make available output identified step', 'read version declared therein', 'store perl version file']"
@quinnturnergithub-status-action,2020-04-30 16:15:29,"['add check status commit', 'report last status added particular context', 'display status check success error failure pending', 'repository name owner', 'name subgraph check', 'allows specifying sha commit update status', 'trigger workflow event', 'git status check', 'status list update', 'specify repository']"
@thzeroLibrary Build CI,2021-02-07 17:33:39,"['git label', 'specify build type', 'action run thzerolibrary build ci']"
@zhuzichu520inno-setup-action-cli,2023-10-02 12:34:26,['generate setupinstaller file using inno setup']
A pull request (PR) based Github Action workflow to update Tags whenever a PR is merged,2023-04-18 07:52:37,"['action say hello', 'saying hello person']"
A Python Container Action Template,2020-03-30 13:15:15,"['age', 'username', 'get started python container action', 'result']"
A3K Diff,2021-10-27 14:27:18,"['input data point value', 'pullrequestoject id']"
aadimator-hugo-obsidian,2021-07-17 04:55:30,"['input file descriptor set directory', 'output directory']"
AAP Automation Controller Action,2022-07-11 16:47:08,"['time greeted', 'greet someone record time', 'greet']"
ab-story-validation,2021-03-08 17:01:38,"['github context', 'validate azure board story link pull request']"
AbsaOSSk3d-action,2022-06-23 12:13:39,"['multicluster support', 'cluster id', 'version k3d', 'pullrequestoject id', 'run fully customizable k3s cluster workflow', 'additional argument k3d cluster']"
ACCELQ Github-A Connect,2021-04-30 11:31:33,"['execute accelq registered ci job github action', 'run params configuration', 'tenant code retrieval', 'accelq application url', 'set pullrequestoxy host', 'accelq user id', 'ci job saving', 'pullrequestoxy dockerhub', 'api key']"
accum-content,2022-04-30 17:52:12,"['writepush content repository', 'set filepath readme content file', 'content index directory', 'read config list file', 'enable oci store', 'set content type artifact', 'checkout dependency', 'download application file', 'pullrequestovide additional curl flag']"
Accurics GitHub Action,2020-06-01 19:18:04,"['build fails', 'view apim endpoint url', 'environment id', 'get accurics cli application token id', 'terraform plan argument', 'scan using accurics platform', 'terragrunt version', 'list directory file scan']"
AceCompanyGroup,2020-08-15 12:45:36,"['login buf schema registry username', 'authenticate docker registry username password', 'log container registry', 'get apimanager username', 'set server address docker registry']"
Acorn Setup,2022-07-25 19:38:26,"['input data point value', 'pullrequestoject id']"
ACR Container Purge,2021-08-04 14:33:51,"['exclude container younger certain age', 'specify azure active directory tenant id associated service pullrequestincipal', 'filter tag', 'specify resource name azure openai', 'purge container azure container registry', 'view azure ad tenant id', 'pullrequesteview azure infrastructure change deployment', 'save certain number container purged', 'regex filter repository name', 'get acr repository purge container']"
acru-l,2021-01-08 03:44:10,"['acrul configuration execution', 'recurse subdirectory']"
Acryl dbt Impact Analysis Action,2023-04-13 05:40:36,"['datahub gm token', 'logout url application', 'comment pullrequests downstream impact dbt change', 'config file use default default config file pullrequestocesscwd']"
Action Check Conventional Commits,2023-03-24 14:15:45,"['enforce conventionalcommits standard', 'operation token', 'pullrequestocess json array commit type']"
Action Discord Alerts,2023-05-04 21:52:39,"['content', 'get link openapi url', 'description included message', 'url jump title clicked', 'discord webhook url', 'webserver id', 'suppullrequestess detailed embed field', 'string included embed title', 'avoid appending job status title', 'embed color', 'discord notify github action informtion', 'sending image message', 'specify job status', 'avoid appending timestamp', 'github context', 'job name included message title']"
Action Docker Push,2020-07-23 22:12:36,"['build pass', 'push container', 'tag']"
Action ESLint,2020-09-20 11:01:56,"['run eslint cli flag', 'filter extension', 'changed file current pull request formatted']"
Action FF Merge,2023-04-24 14:58:50,"['ref updated', 'merge branch', 'action merge pull request ff']"
Action Firebase Node,2022-11-15 05:26:03,"['authentication token', 'create pullrequest comment console output', 'path folder containing firebasejson doesnt exist root repository', 'use service account key authentication', 'specify version firebasetools']"
action git add commit push,2023-07-31 09:51:26,"['git name', 'push', 'git add', 'get sha git commit', 'commit message', 'email']"
Action GitHub Deployment,2021-02-14 11:51:54,['reflect cd github deployment']
Action Image,2020-10-25 20:10:23,"['set release name', 'upload artefact', 'create tag specific name message', 'add comment label pull request', 'host image imgur', 'enable glob pattern', 'post screenshot comment section pull request', 'specify github access token']"
Action Inspector,2022-02-22 05:07:29,"['pullrequestoject id', 'repostory owner default context githubrepositoryowner omited', 'use token need trigger workflow', 'repository default context githubrepository omited']"
Action Mattermost Notify,2022-07-31 18:16:41,"['url send request', 'send notification mattermost', 'containerized environment', 'message author username', 'specify channel send', 'set message icon']"
Action Plan (matrix),2023-07-25 21:10:31,"['get matrix value', 'set github action workflow cordovaquasar environment']"
action publish,2021-02-17 02:30:54,"['push local file change back supplied branch name', 'path local markdown file push', 'open new pull request set target branch name']"
Action Ref Linter,2023-03-02 21:14:15,"['check actionreusable workflow reference referring semver sha branch', 'path lint']"
Action Regex Match,2023-08-06 07:44:47,"['matched text', '9th captured group', 'display regexp flag', 'capturing group', '1st captured group', '7th captured group', '4th captured group', 'regexp pattern', 'github action regex matching', '5th captured group', '6th captured group', '3rd captured group', '8th captured group', '2nd captured group']"
Action Release Action,2023-05-24 14:44:32,"['specify github access token', 'specify branch built artifact', 'update new version code', 'appullrequestove deny pull request', 'generate artifact release specific location', 'build j file command']"
Action Repository Dispatch,2020-12-31 15:08:34,"['use personal access token pat authenticated git command', 'json payload', 'repository full name format ownerrepo', 'send customized repositorydispatch event', 'custom event type expected receiving repository']"
action runner switch,2023-03-18 14:02:54,"['determines current usage github action minute organization', 'track minute used throughout last billing cycle', 'set threshold value percent included minute', 'calculates percentage included minute consumed throughout billing cycle', 'selects runner used included github minute consumed', 'selects runner used based consumed minute', 'minute included organization contract', 'token request billing information need organization admin read permission', 'selects github runner']"
Action Rush Version Policy Command,2021-11-15 08:08:53,"['module version', 'argument command', 'version policy name', 'rush root directory', 'build changed module', 'publish artifact id', 'execute command authenticated']"
Action SemVer Release,2022-08-28 01:43:36,"['specify github access token', 'move major minor latest tag accordingly']"
Action SonarQube,2020-12-29 20:24:01,"['sonar pullrequestoject key', 'review apps using sonarqube', 'sonarqube token', 'sonar host url']"
Action to Mermaid,2022-02-21 02:09:21,"['specify github access token', 'ownerrepo path actionyml pullrequesteferred actionyaml', 'mermaid diagram plain text', 'convert action mermaid diagram']"
action turnstyle,2020-02-09 18:43:09,"['serialize workflow run', 'set pattern base branch']"
Action Usage Guard,2023-07-25 15:25:34,"['cancel workflow based total account usage exceeding defined threshold', 'define maximum usage limit workflow cancelled', 'specify github access token']"
Action-Automerge,2020-07-11 13:35:12,"['target branch source branch going merged', 'source branch want merge target', 'merge source branch target branch', 'authenticates githubs api']"
action-cache-http,2021-03-08 14:14:10,"['pullrequestoject id', 'username basic auth', 'cache dependency', 'destinationfolder eg nodemodules vendor', 'cache service installed httpsgithubcomkevincobain2000cachehttp', 'pullrequestovide lock file path eg yarnlock composerlock', 'full version terminus install', 'password basic auth']"
action-camo-purge,2023-09-16 06:55:24,['purge camo image repo given branch camogithubusercontentcom']
action-changelog,2022-02-02 17:01:13,"['automatically generate changelog since last tag using conventional commit format', 'exclude ai response pullrequestompt message', 'name json file', 'generate changelog latest tag without versiondate header', 'changelogmd updated latest changelog', 'get url github pull request']"
action-check-label,2021-10-28 14:19:34,"['pullrequestovides label blank pullrequests', 'state status', 'github context', 'repository name owner', 'label test commits', 'whether contractshark fail error found']"
action-choose-release-version,2021-01-31 10:24:50,"['pull request branch name', 'new version string', 'choose new release version based latest version', 'version grcov install latest latest version']"
